muncod2;ufmun;VotBol2018;Obtos_100khabit
110001;RO-ALTA FLORESTA D'OESTE;0,6937;265,853127
110002;RO-ARIQUEMES;0,8081;395,872542
110003;RO-CABIXI;0,6587;338,8554217
110004;RO-CACOAL;0,7809;276,4793402
110005;RO-CEREJEIRAS;0,8144;336,947865
110006;RO-COLORADO DO OESTE;0,7396;188,8930865
110007;RO-CORUMBIARA;0,6158;216,4795021
110008;RO-COSTA MARQUES;0,5877;152,7467132
110009;RO-ESPIGÃO D'OESTE;0,7319;179,1561129
110010;RO-GUAJARÁ-MIRIM;0,6872;452,6356824
110011;RO-JARU;0,7794;307,0980203
110012;RO-JI-PARANÁ;0,7739;366,7548015
110013;RO-MACHADINHO D'OESTE;0,6725;212,5478233
110014;RO-NOVA BRASILÂNDIA D'OESTE;0,7067;122,1060858
110015;RO-OURO PRETO DO OESTE;0,7458;346,8849729
110018;RO-PIMENTA BUENO;0,7784;207,3104201
110020;RO-PORTO VELHO;0,6894;442,0784675
110025;RO-PRESIDENTE MÉDICI;0,7229;347,6245655
110026;RO-RIO CRESPO;0,7285;239,1073326
110028;RO-ROLIM DE MOURA;0,7597;263,35864
110029;RO-SANTA LUZIA D'OESTE;0,6517;246,343341
110030;RO-VILHENA;0,8131;223,326056
110032;RO-SÃO MIGUEL DO GUAPORÉ;0,6713;199,9565312
110033;RO-NOVA MAMORÉ;0,7554;199,4572148
110034;RO-ALVORADA D'OESTE;0,6267;173,4785927
110037;RO-ALTO ALEGRE DOS PARECIS;0,6281;271,8827883
110040;RO-ALTO PARAÍSO;0,7164;186,6716446
110045;RO-BURITIS;0,7737;156,3524487
110050;RO-NOVO HORIZONTE DO OESTE;0,6124;257,6715859
110060;RO-CACAULÂNDIA;0,7392;160,5136437
110070;RO-CAMPO NOVO DE RONDÔNIA;0,6677;155,5979914
110080;RO-CANDEIAS DO JAMARI;0,6118;262,241037
110090;RO-CASTANHEIRAS;0,5882;196,5923984
110092;RO-CHUPINGUAIA;0,6702;152,0300483
110094;RO-CUJUBIM;0,737;142,7721594
110100;RO-GOVERNADOR JORGE TEIXEIRA;0,6794;218,8747264
110110;RO-ITAPUÃ DO OESTE;0,6249;172,1170396
110120;RO-MINISTRO ANDREAZZA;0,6517;144,9275362
110130;RO-MIRANTE DA SERRA;0,6215;100,4841509
110140;RO-MONTE NEGRO;0,724;176,6338632
110143;RO-NOVA UNIÃO;0,5538;200,8608321
110145;RO-PARECIS;0,5879;115,2453079
110146;RO-PIMENTEIRAS DO OESTE;0,6643;691,5629322
110147;RO-PRIMAVERA DE RONDÔNIA;0,729;245,0980392
110148;RO-SÃO FELIPE D'OESTE;0,703;154,679041
110149;RO-SÃO FRANCISCO DO GUAPORÉ;0,6721;212,1780322
110150;RO-SERINGUEIRAS;0,6298;109,6491228
110155;RO-TEIXEIRÓPOLIS;0,645;185,7010214
110160;RO-THEOBROMA;0,6617;229,7970126
110170;RO-URUPÁ;0,6602;252,899625
110175;RO-VALE DO ANARI;0,6761;187,4330596
110180;RO-VALE DO PARAÍSO;0,6502;366,3003663
120001;AC-ACRELÂNDIA;0,7989;216,3083377
120005;AC-ASSIS BRASIL;0,5843;296,6158824
120010;AC-BRASILÉIA;0,7308;136,9967273
120013;AC-BUJARI;0,7859;146,113384
120017;AC-CAPIXABA;0,782;144,8904798
120020;AC-CRUZEIRO DO SUL;0,7994;168,5978094
120025;AC-EPITACIOLÂNDIA;0,7562;152,0829939
120030;AC-FEIJÓ;0,545;169,6377228
120032;AC-JORDÃO;0,4928;12,02356619
120033;AC-MÂNCIO LIMA;0,6912;137,007957
120034;AC-MANOEL URBANO;0,5838;126,8633048
120035;AC-MARECHAL THAUMATURGO;0,5097;47,70233741
120038;AC-PLÁCIDO DE CASTRO;0,7805;80,96756237
120039;AC-PORTO WALTER;0,611;25,03755633
120040;AC-RIO BRANCO;0,8277;245,016805
120042;AC-RODRIGUES ALVES;0,739;58,10882198
120043;AC-SANTA ROSA DO PURUS;0,4649;107,0336391
120045;AC-SENADOR GUIOMARD;0,8069;182,4183461
120050;AC-SENA MADUREIRA;0,7646;137,4105741
120060;AC-TARAUACÁ;0,6115;82,22331853
120070;AC-XAPURI;0,5918;139,7298556
120080;AC-PORTO ACRE;0,7764;178,3398184
130002;AM-ALVARÃES;0,2067;274,2971136
130006;AM-AMATURÁ;0,1992;147,3647712
130008;AM-ANAMÃ;0,3028;66,10841781
130010;AM-ANORI;0,3797;147,5487863
130014;AM-APUÍ;0,5137;122,8780776
130020;AM-ATALAIA DO NORTE;0,1747;40,15862657
130030;AM-AUTAZES;0,2666;232,5287502
130040;AM-BARCELOS;0,3465;207,257654
130050;AM-BARREIRINHA;0,0819;190,3810742
130060;AM-BENJAMIN CONSTANT;0,1417;197,7479993
130063;AM-BERURI;0,2441;157,5283297
130068;AM-BOA VISTA DO RAMOS;0,1081;57,27078669
130070;AM-BOCA DO ACRE;0,4747;64,12498543
130080;AM-BORBA;0,1726;131,1921479
130083;AM-CAAPIRANGA;0,2868;160,5381852
130090;AM-CANUTAMA;0,3349;51,18689615
130100;AM-CARAUARI;0,1977;183,784548
130110;AM-CAREIRO;0,3053;224,4579999
130115;AM-CAREIRO DA VÁRZEA;0,2786;82,71298594
130120;AM-COARI;0,3117;263,229021
130130;AM-CODAJÁS;0,3582;73,33170374
130140;AM-EIRUNEPÉ;0,262;73,71077028
130150;AM-ENVIRA;0,2239;49,9176359
130160;AM-FONTE BOA;0,1735;204,4409109
130165;AM-GUAJARÁ;0,5048;155,8939921
130170;AM-HUMAITÁ;0,4226;255,9912854
